bench-name,cpp-time,cpp-memo,mvs-time,mvs-memo,swift-time,swift-memo,scala-time,scala-memo
gen2,351947679.0,0.0,89186816.0,0.0,66863784.0,0.0,36428240.0,0.0
gen3,4644012.0,0.0,1734144.0,0.0,1323390.5,0.0,3923542.5,0.0
gen4,403720.0,0.0,272128.0,0.0,239210.5,0.0,446490.0,0.0
gen5,5346011.5,0.0,561664.0,0.0,549563.0,0.0,872187.5,0.0
gen6,15886132.0,0.0,10286080.0,0.0,2108370.0,0.0,3904940.5,0.0
gen7,458713801.5,0.0,86176896.0,0.0,41589818.0,0.0,15707151.0,0.0
gen8,76454578.0,0.0,32156032.0,0.0,19951010.5,0.0,12342402.5,0.0
gen9,99875553.0,0.0,18069632.0,0.0,15414020.0,0.0,6136899.0,0.0
gen10,363005494.0,0.0,77351936.0,0.0,52741443.5,0.0,19177956.5,0.0
gen12,414982862.5,0.0,55171328.0,0.0,24575104.5,0.0,15336985.5,0.0
gen13,101541.0,0.0,183296.0,0.0,141817.0,0.0,1050329.5,0.0
gen14,3901489.0,0.0,2918656.0,0.0,2123904.5,0.0,5065108.0,0.0
gen16,25751291.0,0.0,7123072.0,0.0,1025858.5,0.0,2069858.0,0.0
gen17,146172739.5,0.0,63442048.0,0.0,39916416.5,0.0,37593293.5,0.0
gen18,1311249.5,0.0,297984.0,0.0,349668.0,0.0,935465.0,0.0
gen19,1298420.5,0.0,340480.0,0.0,1204.5,0.0,1193843.5,0.0
gen20,129019056.5,0.0,40581120.0,0.0,25048747.5,0.0,21396334.5,0.0
gen21,56469187.5,0.0,26488576.0,0.0,13261506.5,0.0,10898651.0,0.0
gen22,1320852.0,0.0,1285248.0,0.0,831199.0,0.0,4391585.0,0.0
gen23,1380604.0,0.0,404736.0,0.0,299739.0,0.0,915079.5,0.0
gen24,309315552.0,0.0,25191168.0,0.0,14051299.0,0.0,8801815.0,0.0
gen25,128422.0,0.0,315136.0,0.0,283469.5,0.0,1358955.0,0.0
gen26,82674.5,0.0,356480.0,0.0,463572.5,0.0,2475436.0,0.0
gen27,871120321.0,0.0,16133504.0,0.0,6174173.0,0.0,3365682.0,0.0
gen28,28934149.0,0.0,2249472.0,0.0,1746732.0,0.0,3450224.5,0.0
gen29,2634960.5,0.0,1369600.0,0.0,811730.0,0.0,1965760.5,0.0
gen30,45331677.5,0.0,9674240.0,0.0,5845243.0,0.0,2597149.0,0.0
gen31,318293.0,0.0,700928.0,0.0,645012.0,0.0,2367256.5,0.0
gen32,54176123.5,0.0,15498624.0,0.0,9879772.5,0.0,6325232.5,0.0
gen33,31303161.0,0.0,956032.0,0.0,276137.0,0.0,1742558.0,0.0
gen34,137387751.0,0.0,22599296.0,0.0,16337295.0,0.0,5818755.0,0.0
gen35,304133.5,0.0,535296.0,0.0,464205.5,0.0,1444298.5,0.0
gen36,8581191.0,0.0,373248.0,0.0,6274.5,0.0,71651.0,0.0
gen37,3261205.0,0.0,1406976.0,0.0,753324.5,0.0,2273989.5,0.0
gen38,1081196617.0,0.0,155932416.0,0.0,89029755.0,0.0,15913497.5,0.0
gen39,4139935.0,0.0,4409600.0,0.0,4240994.0,0.0,6822139.0,0.0
gen40,868663768.0,0.0,120067840.0,0.0,103238561.5,0.0,23161725.5,0.0
gen41,1556031653.0,0.0,126701824.0,0.0,112481170.0,0.0,38205295.0,0.0
gen42,10097336.0,0.0,3382144.0,0.0,1894846.5,0.0,4154851.0,0.0
gen43,4186150.0,0.0,804992.0,0.0,357179.0,0.0,2336208.0,0.0
gen44,64098297.5,0.0,6615168.0,0.0,503857.0,0.0,192960.0,0.0
gen45,55838278.5,0.0,19682944.0,0.0,8623518.5,0.0,5454815.5,0.0
gen46,928264.0,0.0,1349632.0,0.0,1297708.5,0.0,2860618.0,0.0
gen47,210825.5,0.0,499200.0,0.0,650548.5,0.0,3115113.5,0.0
gen48,398789606.5,0.0,56636288.0,0.0,41296032.0,0.0,22825758.0,0.0
gen49,368023664.5,0.0,92382592.0,0.0,5478196.0,0.0,15905531.0,0.0
gen50,21712755.5,0.0,7012992.0,0.0,5701700.0,0.0,7033591.5,0.0
gen51,55727694.5,0.0,19734016.0,0.0,1260678.0,0.0,5652225.0,0.0
gen52,26609639.0,0.0,7240576.0,0.0,1287.5,0.0,118597.0,0.0
gen53,1218012.0,0.0,283392.0,0.0,315157.5,0.0,811045.0,0.0
gen54,7520733.5,0.0,1235584.0,0.0,795276.5,0.0,1700067.0,0.0
gen55,46091416.5,0.0,4588416.0,0.0,337195.0,0.0,2575012.0,0.0
gen56,18145124.0,0.0,256.0,0.0,5922.0,0.0,96175.5,0.0
